Id,river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,type,span_flag,t_or_d_flag,rel_l_flag
E1,M,3.0,1818,HIGHWAY,1300.0,2,N,THROUGH,WOOD,SHORT,S,WOOD,no flag,no flag,no flag
E2,A,25.0,1819,HIGHWAY,1037.0,2,N,THROUGH,WOOD,SHORT,S,WOOD,no flag,no flag,no flag
E3,A,39.0,1829,AQUEDUCT,1300.0,1,N,THROUGH,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E5,A,29.0,1837,HIGHWAY,1000.0,2,N,THROUGH,WOOD,SHORT,S,WOOD,no flag,no flag,no flag
E6,M,23.0,1838,HIGHWAY,1300.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E7,A,27.0,1840,HIGHWAY,990.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,no flag,no flag,no flag
E8,A,28.0,1844,AQUEDUCT,1000.0,1,N,THROUGH,IRON,SHORT,S,SUSPEN,no flag,no flag,no flag
E9,M,3.0,1846,HIGHWAY,1500.0,2,N,THROUGH,IRON,SHORT,S,SUSPEN,no flag,no flag,no flag
E10,A,39.0,1848,AQUEDUCT,1300.0,1,N,DECK,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E11,A,29.0,1851,HIGHWAY,1000.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,no flag,no flag,no flag
E12,A,39.0,1853,RR,1300.0,2,N,DECK,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E14,M,6.0,1856,HIGHWAY,1200.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,no flag,no flag,no flag
E13,A,33.0,1856,HIGHWAY,1300.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E15,A,28.0,1857,RR,1300.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,flag,no flag,no flag
E16,A,25.0,1859,HIGHWAY,1030.0,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN,no flag,no flag,no flag
E17,M,4.0,1863,RR,1000.0,2,N,THROUGH,IRON,MEDIUM,S,SIMPLE-T,no flag,no flag,flag
E18,A,28.0,1864,RR,1200.0,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T,no flag,no flag,no flag
E19,A,29.0,1866,HIGHWAY,1000.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,no flag,no flag,no flag
E20,A,32.0,1870,HIGHWAY,1000.0,2,N,THROUGH,WOOD,MEDIUM,S,WOOD,no flag,no flag,no flag
E21,M,16.0,1874,RR,1300.0,2,N,THROUGH,IRON,MEDIUM,S,SIMPLE-T,flag,no flag,flag
